season,current_gameweek,player_id,player_code,web_name,full_name,team,team_id,team_code,position,status,news,chance_of_playing_next_round,now_cost,selected_by_percent,total_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,ict_index,form,points_per_game,ep_next,fixture_difficulty_next5,fixture_difficulty_next3,next5_home_count,next3_home_count,opponent_count_next5,opponent_count_next3,prior_minutes,prior_total_points,prior_points_per_90,prior_xgi_per_90,prior_starts_per_90,prior_found,prior_team_strength,prior_team_attack_strength,prior_team_defence_strength,prior_team_found,points_per_90,xgi_per_90,start_rate,blended_points_per_90,blended_xgi_per_90,blended_start_rate,team_attack_prior,team_defence_prior,value_points_per_million,fixture_ease,differential_score,availability_factor,predicted_next_gw,predicted_next3,predicted_next5,baseline_next3,baseline_next5,model_residual,optimizer_value,risk_score,transfer_score
2026-27,2,35,515597,Bogarde,Lamare Bogarde,Aston Villa,2,7,MID,a,,100,50.0,0.1,1,16,0,0,0,0,0,0.0,0.0,0.0,0.22,0.3,0.5,1.0,0.5,2.8,2.667,2.0,1.0,5,3,1042.0,40.0,3.455,0.017,0.95,1,1182.5,1165.0,1200.0,1,5.625,0.0,0.0,4.063,0.012,0.684,0.55,0.667,0.2,3.2,24.9,1.0,0.928,2.575,4.222,3.0,5.0,-0.778,0.844,0.982,5.379
2026-27,2,36,441302,Maatsen,Ian Maatsen,Aston Villa,2,7,DEF,a,,100,45.0,0.7,1,171,2,0,0,0,5,0.1,0.0,0.1,4.66,3.0,0.5,0.5,0.5,2.8,2.667,2.0,1.0,5,3,1590.0,54.0,3.057,0.207,0.96,1,1182.5,1165.0,1200.0,1,0.526,0.053,1.0,2.348,0.164,1.0,0.55,0.667,0.222,3.2,24.3,1.0,3.076,7.962,12.848,1.5,2.5,10.348,2.855,0.81,14.13
2026-27,2,37,184667,Lindelöf,Victor Lindelöf,Aston Villa,2,7,DEF,a,,100,45.0,0.3,0,180,2,0,0,0,5,0.0,0.08,0.08,4.81,1.8,0.0,0.0,0.0,2.8,2.667,2.0,1.0,5,3,942.0,29.0,2.771,0.036,1.05,1,1182.5,1165.0,1200.0,1,0.0,0.04,1.0,1.995,0.037,1.0,0.55,0.667,0.0,3.2,24.7,1.0,2.579,7.736,12.893,0.0,0.0,12.893,2.865,0.8,14.197
2026-27,2,38,606798,A.García,Andrés García,Aston Villa,2,7,DEF,a,,100,40.0,1.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.667,2.0,1.0,5,3,83.0,0.0,0.0,0.0,0.0,0,1182.5,1165.0,1200.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.667,0.0,3.2,23.3,1.0,0.076,0.14,0.204,0.0,0.0,0.204,0.051,1.649,0.738
2026-27,2,39,578545,Nedeljkovic,Kosta Nedeljkovic,Aston Villa,2,7,DEF,u,Has joined Rangers on loan for the rest of the season,0,40.0,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.667,2.0,1.0,5,3,0.0,0.0,0.0,0.0,0.0,0,1182.5,1165.0,1200.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.667,0.0,3.2,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.649,-0.264
2026-27,2,41,195546,Buendía,Emiliano Buendía Stati,Aston Villa,2,7,MID,a,,100,60.0,1.1,4,175,2,0,0,0,5,0.17,0.11,0.28,4.66,4.9,2.0,2.0,2.0,2.8,2.667,2.0,1.0,5,3,1753.0,102.0,5.237,0.288,1.05,1,1182.5,1165.0,1200.0,1,2.057,0.144,1.0,4.347,0.248,1.0,0.55,0.667,0.667,3.2,23.9,1.0,4.602,11.235,17.868,6.0,10.0,7.868,2.978,0.806,19.139
2026-27,2,44,215711,Bailey,Leon Bailey,Aston Villa,2,7,MID,a,,100,55.0,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.667,2.0,1.0,5,3,450.0,21.0,4.2,0.392,0.6,1,1182.5,1165.0,1200.0,1,0.0,0.0,0.0,3.024,0.282,0.432,0.55,0.667,0.0,3.2,24.9,1.0,0.383,1.153,1.923,0.0,0.0,1.923,0.35,1.217,2.88
2026-27,2,45,122806,McGinn,John McGinn,Aston Villa,2,7,MID,a,,100,55.0,2.5,2,171,2,0,0,0,5,0.09,0.06,0.15,4.66,2.2,1.0,1.0,1.0,2.8,2.667,2.0,1.0,5,3,2136.0,103.0,4.34,0.3,1.05,1,1182.5,1165.0,1200.0,1,1.053,0.079,1.0,3.42,0.238,1.0,0.55,0.667,0.364,3.2,22.5,1.0,3.854,10.641,17.428,3.0,5.0,12.428,3.169,0.81,18.647
2026-27,2,46,88894,Barkley,Ross Barkley,Aston Villa,2,7,MID,a,,100,50.0,0.3,4,150,2,0,0,0,5,0.13,0.04,0.17,4.59,7.6,2.0,2.0,2.0,2.8,2.667,2.0,1.0,5,3,844.0,56.0,5.972,0.303,0.75,1,1182.5,1165.0,1200.0,1,2.4,0.102,1.0,4.972,0.247,1.0,0.55,0.667,0.8,3.2,24.7,1.0,3.296,8.645,13.994,6.0,10.0,3.994,2.799,0.833,15.27
2026-27,2,47,226944,Kamara,Boubacar Kamara,Aston Villa,2,7,MID,a,,100,50.0,0.3,4,180,2,0,0,0,5,0.0,0.03,0.03,4.81,3.9,2.0,2.0,2.0,2.8,2.667,2.0,1.0,5,3,1410.0,61.0,3.894,0.087,1.05,1,1182.5,1165.0,1200.0,1,2.0,0.015,1.0,3.364,0.067,1.0,0.55,0.667,0.8,3.2,24.7,1.0,2.631,8.529,14.427,6.0,10.0,4.427,2.885,0.8,15.732
