player_id,web_name,team,position,gw,fixture,opponent_team_id,was_home,minutes,starts,total_points,goals_scored,assists,clean_sheets,expected_goals,expected_assists,expected_goal_involvements,ict_index,bonus,bps,defensive_contribution,value,selected,transfers_in,transfers_out
566,Silva,Bournemouth,DEF,4,32,4,1,90,1,3,0,0,0,0.58,0.23,0.81,3.4,0,-2,10.0,50.0,44292,5703,6002
73,Adams,Bournemouth,MID,1,8,15,0,15,0,1,0,0,0,0.0,0.0,0.0,0.4,0,4,3.0,50.0,19512,0,0
73,Adams,Bournemouth,MID,2,12,9,1,21,0,1,0,0,0,0.0,0.0,0.0,0.3,0,4,3.0,50.0,22708,3032,2855
73,Adams,Bournemouth,MID,3,27,17,0,75,1,4,0,0,0,0.0,0.01,0.01,2.4,0,15,12.0,50.0,26019,5588,4691
73,Adams,Bournemouth,MID,4,32,4,1,81,1,2,0,0,0,0.03,0.02,0.05,2.6,0,16,10.0,50.0,29708,5594,3579
85,Van den Berg,Brentford,DEF,1,2,19,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,14391,0,0
85,Van den Berg,Brentford,DEF,2,17,13,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,10710,145,4123
85,Van den Berg,Brentford,DEF,3,22,20,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,49.0,8510,121,2463
85,Van den Berg,Brentford,DEF,4,32,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,49.0,7443,70,1254
84,Collins,Brentford,DEF,1,2,19,1,90,1,6,0,0,1,0.34,0.04,0.38,5.0,0,21,3.0,55.0,156847,0,0
84,Collins,Brentford,DEF,2,17,13,0,90,1,3,0,0,0,0.17,0.01,0.18,6.3,0,14,13.0,55.0,207535,25089,9373
84,Collins,Brentford,DEF,3,22,20,1,16,1,1,0,0,0,0.0,0.0,0.0,0.1,0,4,1.0,55.0,271484,32175,20584
84,Collins,Brentford,DEF,4,32,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,55.0,146784,1251,78007
83,Valdimarsson,Brentford,GKP,1,2,19,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,9667,0,0
83,Valdimarsson,Brentford,GKP,2,17,13,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,10896,642,890
83,Valdimarsson,Brentford,GKP,3,22,20,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,11246,975,1407
83,Valdimarsson,Brentford,GKP,4,32,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,10856,631,1069
82,Kelleher,Brentford,GKP,1,2,19,1,90,1,7,0,0,1,0.0,0.01,0.01,3.1,0,34,0.0,50.0,513912,0,0
82,Kelleher,Brentford,GKP,2,17,13,0,90,1,2,0,0,0,0.0,0.0,0.0,0.9,0,7,0.0,50.0,649790,74434,19924
82,Kelleher,Brentford,GKP,3,22,20,1,90,1,2,0,0,0,0.0,0.0,0.0,1.7,0,10,0.0,50.0,832099,113703,58945
82,Kelleher,Brentford,GKP,4,32,3,0,90,1,3,0,0,0,0.0,0.0,0.0,4.4,0,19,0.0,50.0,702931,34374,58347
86,Lewis-Potter,Brentford,MID,1,2,19,1,90,1,10,1,0,1,0.77,0.12,0.89,8.2,2,37,10.0,55.0,38558,0,0
86,Lewis-Potter,Brentford,MID,2,17,13,0,87,1,6,0,1,0,0.02,0.13,0.15,7.2,1,29,11.0,55.0,116486,52542,6716
86,Lewis-Potter,Brentford,MID,3,22,20,1,90,1,2,0,0,0,0.24,0.4,0.64,7.5,0,4,6.0,55.0,235201,101209,26327
86,Lewis-Potter,Brentford,MID,4,32,3,0,59,1,1,0,0,0,0.03,0.13,0.16,0.8,0,0,2.0,55.0,223550,26643,32836
89,Henry,Brentford,DEF,1,2,19,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,22322,0,0
89,Henry,Brentford,DEF,2,17,13,0,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0,3,0.0,45.0,24226,544,2146
89,Henry,Brentford,DEF,3,22,20,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,22909,561,2202
89,Henry,Brentford,DEF,4,32,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,21461,309,2002
87,Ajer,Brentford,DEF,1,2,19,1,90,1,8,0,0,1,0.11,0.02,0.13,5.6,0,29,10.0,45.0,318142,0,0
87,Ajer,Brentford,DEF,2,17,13,0,90,1,3,0,0,0,0.0,0.01,0.01,6.1,0,7,17.0,45.0,412431,69978,13902
87,Ajer,Brentford,DEF,3,22,20,1,90,1,2,0,0,0,0.0,0.0,0.0,1.2,0,8,5.0,45.0,610187,174453,61930
87,Ajer,Brentford,DEF,4,32,3,0,90,1,1,0,0,0,0.02,0.0,0.02,2.4,0,0,9.0,45.0,479881,52109,103890
90,Hickey,Brentford,DEF,1,2,19,1,14,0,1,0,0,0,0.0,0.0,0.0,0.0,0,2,0.0,45.0,5416,0,0
90,Hickey,Brentford,DEF,2,17,13,0,2,0,1,0,0,0,0.0,0.02,0.02,0.8,0,6,1.0,45.0,7643,623,540
90,Hickey,Brentford,DEF,3,22,20,1,45,0,1,0,0,0,0.0,0.0,0.0,0.9,0,0,5.0,45.0,7835,653,892
90,Hickey,Brentford,DEF,4,32,3,0,70,1,1,0,0,0,0.03,0.03,0.06,1.8,0,4,7.0,45.0,7602,309,711
93,Schuster,Brentford,DEF,1,2,19,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,15125,0,0
93,Schuster,Brentford,DEF,2,17,13,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,16511,142,1206
93,Schuster,Brentford,DEF,3,22,20,1,73,0,4,0,0,0,0.1,0.01,0.11,2.1,0,11,10.0,45.0,15267,166,1472
93,Schuster,Brentford,DEF,4,32,3,0,90,1,3,0,0,0,0.0,0.01,0.01,3.1,0,5,12.0,45.0,15722,905,735
94,Schade,Brentford,MID,1,2,19,1,90,1,3,0,0,1,0.52,0.01,0.53,8.5,0,17,9.0,60.0,330810,0,0
94,Schade,Brentford,MID,2,17,13,0,87,1,10,1,0,0,0.25,0.02,0.27,9.1,3,34,9.0,60.0,344201,24998,25789
94,Schade,Brentford,MID,3,22,20,1,90,1,2,0,0,0,0.0,0.17,0.17,2.5,0,11,5.0,60.0,492340,140288,47506
94,Schade,Brentford,MID,4,32,3,0,90,1,15,2,0,0,0.21,0.1,0.31,10.7,3,49,4.0,60.0,374153,28990,88151
573,Sanchez,Bournemouth,DEF,1,8,15,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,18342,0,0
573,Sanchez,Bournemouth,DEF,2,12,9,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,21445,452,1465
573,Sanchez,Bournemouth,DEF,3,27,17,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,19900,369,2289
573,Sanchez,Bournemouth,DEF,4,32,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,18893,285,1607
88,Kayode,Brentford,DEF,1,2,19,1,75,1,13,1,0,1,0.5,0.0,0.5,8.1,1,36,4.0,45.0,282611,0,0
88,Kayode,Brentford,DEF,2,17,13,0,87,1,2,0,0,0,0.02,0.21,0.23,3.8,0,9,4.0,46.0,778776,310803,21160
88,Kayode,Brentford,DEF,3,22,20,1,45,1,1,0,0,0,0.03,0.0,0.03,1.0,0,2,5.0,46.0,1044649,201513,79610
88,Kayode,Brentford,DEF,4,32,3,0,19,0,1,0,0,0,0.0,0.15,0.15,2.0,0,5,1.0,46.0,934432,52146,110853
95,O.Dango,Brentford,MID,1,2,19,1,66,1,3,0,0,1,0.05,0.29,0.34,4.7,0,6,6.0,65.0,105835,0,0
95,O.Dango,Brentford,MID,2,17,13,0,29,0,1,0,0,0,0.02,0.08,0.1,3.3,0,16,7.0,65.0,110686,7348,10952
