player_id,web_name,team,position,gw,horizon_index,was_home,opponent_team_id,fixture_difficulty,forecast_points
39,Nedeljkovic,Aston Villa,DEF,4,2,1,18,3.0,0.0
39,Nedeljkovic,Aston Villa,DEF,5,3,0,19,3.0,0.0
39,Nedeljkovic,Aston Villa,DEF,6,4,1,4,3.0,0.0
39,Nedeljkovic,Aston Villa,DEF,7,5,0,17,3.0,0.0
41,Buendía,Aston Villa,MID,3,1,0,11,2.0,4.602
41,Buendía,Aston Villa,MID,4,2,1,18,3.0,3.34
41,Buendía,Aston Villa,MID,5,3,0,19,3.0,3.293
41,Buendía,Aston Villa,MID,6,4,1,4,3.0,3.34
41,Buendía,Aston Villa,MID,7,5,0,17,3.0,3.293
44,Bailey,Aston Villa,MID,3,1,0,11,2.0,0.383
44,Bailey,Aston Villa,MID,4,2,1,18,3.0,0.404
44,Bailey,Aston Villa,MID,5,3,0,19,3.0,0.366
44,Bailey,Aston Villa,MID,6,4,1,4,3.0,0.404
44,Bailey,Aston Villa,MID,7,5,0,17,3.0,0.366
45,McGinn,Aston Villa,MID,3,1,0,11,2.0,3.854
45,McGinn,Aston Villa,MID,4,2,1,18,3.0,3.394
45,McGinn,Aston Villa,MID,5,3,0,19,3.0,3.393
45,McGinn,Aston Villa,MID,6,4,1,4,3.0,3.394
45,McGinn,Aston Villa,MID,7,5,0,17,3.0,3.393
46,Barkley,Aston Villa,MID,3,1,0,11,2.0,3.296
46,Barkley,Aston Villa,MID,4,2,1,18,3.0,2.63
46,Barkley,Aston Villa,MID,5,3,0,19,3.0,2.719
46,Barkley,Aston Villa,MID,6,4,1,4,3.0,2.63
46,Barkley,Aston Villa,MID,7,5,0,17,3.0,2.719
47,Kamara,Aston Villa,MID,3,1,0,11,2.0,2.631
47,Kamara,Aston Villa,MID,4,2,1,18,3.0,3.036
47,Kamara,Aston Villa,MID,5,3,0,19,3.0,2.862
47,Kamara,Aston Villa,MID,6,4,1,4,3.0,3.036
47,Kamara,Aston Villa,MID,7,5,0,17,3.0,2.862
48,Onana,Aston Villa,MID,3,1,0,11,2.0,0.0
48,Onana,Aston Villa,MID,4,2,1,18,3.0,0.0
48,Onana,Aston Villa,MID,5,3,0,19,3.0,0.0
48,Onana,Aston Villa,MID,6,4,1,4,3.0,0.0
48,Onana,Aston Villa,MID,7,5,0,17,3.0,0.0
49,Iling Jr,Aston Villa,MID,3,1,0,11,2.0,0.0
49,Iling Jr,Aston Villa,MID,4,2,1,18,3.0,0.0
49,Iling Jr,Aston Villa,MID,5,3,0,19,3.0,0.0
49,Iling Jr,Aston Villa,MID,6,4,1,4,3.0,0.0
49,Iling Jr,Aston Villa,MID,7,5,0,17,3.0,0.0
50,Burrowes,Aston Villa,MID,3,1,0,11,2.0,0.367
50,Burrowes,Aston Villa,MID,4,2,1,18,3.0,0.352
50,Burrowes,Aston Villa,MID,5,3,0,19,3.0,0.329
50,Burrowes,Aston Villa,MID,6,4,1,4,3.0,0.352
50,Burrowes,Aston Villa,MID,7,5,0,17,3.0,0.329
51,George Hemmings,Aston Villa,MID,3,1,0,11,2.0,2.791
51,George Hemmings,Aston Villa,MID,4,2,1,18,3.0,2.282
51,George Hemmings,Aston Villa,MID,5,3,0,19,3.0,2.247
51,George Hemmings,Aston Villa,MID,6,4,1,4,3.0,2.282
51,George Hemmings,Aston Villa,MID,7,5,0,17,3.0,2.247
52,Alysson,Aston Villa,MID,3,1,0,11,2.0,0.563
52,Alysson,Aston Villa,MID,4,2,1,18,3.0,0.515
52,Alysson,Aston Villa,MID,5,3,0,19,3.0,0.487
52,Alysson,Aston Villa,MID,6,4,1,4,3.0,0.515
52,Alysson,Aston Villa,MID,7,5,0,17,3.0,0.487
53,Manzambi,Aston Villa,MID,3,1,0,11,2.0,0.0
53,Manzambi,Aston Villa,MID,4,2,1,18,3.0,0.0
53,Manzambi,Aston Villa,MID,5,3,0,19,3.0,0.0
53,Manzambi,Aston Villa,MID,6,4,1,4,3.0,0.0
53,Manzambi,Aston Villa,MID,7,5,0,17,3.0,0.0
54,Gomes,Aston Villa,MID,3,1,0,11,2.0,0.0
54,Gomes,Aston Villa,MID,4,2,1,18,3.0,0.0
54,Gomes,Aston Villa,MID,5,3,0,19,3.0,0.0
54,Gomes,Aston Villa,MID,6,4,1,4,3.0,0.0
54,Gomes,Aston Villa,MID,7,5,0,17,3.0,0.0
55,Watkins,Aston Villa,FWD,3,1,0,11,2.0,0.0
55,Watkins,Aston Villa,FWD,4,2,1,18,3.0,0.0
55,Watkins,Aston Villa,FWD,5,3,0,19,3.0,0.0
55,Watkins,Aston Villa,FWD,6,4,1,4,3.0,0.0
55,Watkins,Aston Villa,FWD,7,5,0,17,3.0,0.0
56,Abraham,Aston Villa,FWD,3,1,0,11,2.0,1.162
56,Abraham,Aston Villa,FWD,4,2,1,18,3.0,1.209
56,Abraham,Aston Villa,FWD,5,3,0,19,3.0,1.168
56,Abraham,Aston Villa,FWD,6,4,1,4,3.0,1.209
56,Abraham,Aston Villa,FWD,7,5,0,17,3.0,1.168
160,Garnacho,Aston Villa,MID,3,1,0,11,2.0,1.557
160,Garnacho,Aston Villa,MID,4,2,1,18,3.0,1.45
160,Garnacho,Aston Villa,MID,5,3,0,19,3.0,1.403
160,Garnacho,Aston Villa,MID,6,4,1,4,3.0,1.45
160,Garnacho,Aston Villa,MID,7,5,0,17,3.0,1.403
166,N.Jackson,Aston Villa,FWD,3,1,0,11,2.0,1.865
166,N.Jackson,Aston Villa,FWD,4,2,1,18,3.0,1.977
166,N.Jackson,Aston Villa,FWD,5,3,0,19,3.0,1.804
166,N.Jackson,Aston Villa,FWD,6,4,1,4,3.0,1.977
166,N.Jackson,Aston Villa,FWD,7,5,0,17,3.0,1.804
582,Madjo,Aston Villa,FWD,3,1,0,11,2.0,0.0
582,Madjo,Aston Villa,FWD,4,2,1,18,3.0,0.0
582,Madjo,Aston Villa,FWD,5,3,0,19,3.0,0.0
582,Madjo,Aston Villa,FWD,6,4,1,4,3.0,0.0
582,Madjo,Aston Villa,FWD,7,5,0,17,3.0,0.0
596,Ruggeri,Aston Villa,DEF,3,1,0,11,2.0,0.477
596,Ruggeri,Aston Villa,DEF,4,2,1,18,3.0,0.541
596,Ruggeri,Aston Villa,DEF,5,3,0,19,3.0,0.462
596,Ruggeri,Aston Villa,DEF,6,4,1,4,3.0,0.541
596,Ruggeri,Aston Villa,DEF,7,5,0,17,3.0,0.462
597,Suzuki,Aston Villa,GKP,3,1,0,11,2.0,2.175
597,Suzuki,Aston Villa,GKP,4,2,1,18,3.0,2.192
597,Suzuki,Aston Villa,GKP,5,3,0,19,3.0,1.934
597,Suzuki,Aston Villa,GKP,6,4,1,4,3.0,2.192
597,Suzuki,Aston Villa,GKP,7,5,0,17,3.0,1.934
606,Rowe,Aston Villa,DEF,3,1,0,11,2.0,0.02
606,Rowe,Aston Villa,DEF,4,2,1,18,3.0,0.01
606,Rowe,Aston Villa,DEF,5,3,0,19,3.0,0.017
606,Rowe,Aston Villa,DEF,6,4,1,4,3.0,0.01
606,Rowe,Aston Villa,DEF,7,5,0,17,3.0,0.017
607,Lynch,Aston Villa,MID,3,1,0,11,2.0,0.038
607,Lynch,Aston Villa,MID,4,2,1,18,3.0,0.013
607,Lynch,Aston Villa,MID,5,3,0,19,3.0,0.027
607,Lynch,Aston Villa,MID,6,4,1,4,3.0,0.013
607,Lynch,Aston Villa,MID,7,5,0,17,3.0,0.027
611,Wan-Bissaka,Aston Villa,DEF,3,1,0,11,2.0,0.644
611,Wan-Bissaka,Aston Villa,DEF,4,2,1,18,3.0,0.64
611,Wan-Bissaka,Aston Villa,DEF,5,3,0,19,3.0,0.586
611,Wan-Bissaka,Aston Villa,DEF,6,4,1,4,3.0,0.64
611,Wan-Bissaka,Aston Villa,DEF,7,5,0,17,3.0,0.586
618,Goretzka,Aston Villa,MID,3,1,0,11,2.0,0.003
618,Goretzka,Aston Villa,MID,4,2,1,18,3.0,0.013
618,Goretzka,Aston Villa,MID,5,3,0,19,3.0,0.003
618,Goretzka,Aston Villa,MID,6,4,1,4,3.0,0.013
618,Goretzka,Aston Villa,MID,7,5,0,17,3.0,0.003
630,Harwood-Bellis,Aston Villa,DEF,3,1,0,11,2.0,0.019
630,Harwood-Bellis,Aston Villa,DEF,4,2,1,18,3.0,0.0
630,Harwood-Bellis,Aston Villa,DEF,5,3,0,19,3.0,0.0
630,Harwood-Bellis,Aston Villa,DEF,6,4,1,4,3.0,0.0
630,Harwood-Bellis,Aston Villa,DEF,7,5,0,17,3.0,0.0
631,Mbaye,Aston Villa,MID,3,1,0,11,2.0,0.003
631,Mbaye,Aston Villa,MID,4,2,1,18,3.0,0.013
631,Mbaye,Aston Villa,MID,5,3,0,19,3.0,0.003
631,Mbaye,Aston Villa,MID,6,4,1,4,3.0,0.013
631,Mbaye,Aston Villa,MID,7,5,0,17,3.0,0.003
57,Petrović,Bournemouth,GKP,3,1,0,17,3.0,3.618
57,Petrović,Bournemouth,GKP,4,2,1,4,3.0,3.617
57,Petrović,Bournemouth,GKP,5,3,1,14,4.0,2.484
57,Petrović,Bournemouth,GKP,6,4,0,6,4.0,2.495
57,Petrović,Bournemouth,GKP,7,5,1,20,2.0,3.962
58,Forster,Bournemouth,GKP,3,1,0,17,3.0,0.551
58,Forster,Bournemouth,GKP,4,2,1,4,3.0,0.701
58,Forster,Bournemouth,GKP,5,3,1,14,4.0,0.711
58,Forster,Bournemouth,GKP,6,4,0,6,4.0,0.563
58,Forster,Bournemouth,GKP,7,5,1,20,2.0,0.84
59,Dennis,Bournemouth,GKP,3,1,0,17,3.0,0.0
59,Dennis,Bournemouth,GKP,4,2,1,4,3.0,0.0
59,Dennis,Bournemouth,GKP,5,3,1,14,4.0,0.0
59,Dennis,Bournemouth,GKP,6,4,0,6,4.0,0.0
59,Dennis,Bournemouth,GKP,7,5,1,20,2.0,0.0
60,Hill,Bournemouth,DEF,3,1,0,17,3.0,2.979
60,Hill,Bournemouth,DEF,4,2,1,4,3.0,2.946
60,Hill,Bournemouth,DEF,5,3,1,14,4.0,3.239
60,Hill,Bournemouth,DEF,6,4,0,6,4.0,3.197
60,Hill,Bournemouth,DEF,7,5,1,20,2.0,3.637
61,Truffert,Bournemouth,DEF,3,1,0,17,3.0,3.791
61,Truffert,Bournemouth,DEF,4,2,1,4,3.0,3.593
